event_id,transaction_id,customer_id,transaction_date,description,amount,transaction_type,status
E0292,TXN0292,C140,2026-08-01,Customer payment for Order 0292,1500,SALE,RECORDED
E0293,TXN0293,C124,2026-08-14,Customer payment for Order 0293,25000,SALE,RECORDED
E0294,TXN0294,C119,2026-08-11,Customer payment for Order 0294,75000,SALE,RECORDED
E0295,TXN0295,C109,2026-08-06,Customer payment for Order 0295,75000,SALE,RECORDED
E0296,TXN0296,C117,2026-08-15,Customer payment for Order 0296,15000,SALE,RECORDED
E0297,TXN0297,C126,2026-08-09,Customer payment for Order 0297,5000,SALE,RECORDED
E0298,TXN0298,C122,2026-08-14,Customer payment for Order 0298,1500,SALE,RECORDED
E0299,TXN0299,C137,2026-08-16,Customer payment for Order 0299,50000,SALE,RECORDED
E0300,TXN0300,C114,2026-08-13,Customer payment for Order 0300,75000,SALE,RECORDED
E0301,TXN0301,C119,2026-08-07,Customer payment for Order 0301,2500,SALE,RECORDED
E0302,TXN0302,C120,2026-08-04,Customer payment for Order 0302,1000,SALE,RECORDED
E0303,TXN0303,C111,2026-08-05,Customer payment for Order 0303,15000,SALE,RECORDED
E0304,TXN0304,C132,2026-08-18,Customer payment for Order 0304,10000,SALE,RECORDED
E0305,TXN0305,C102,2026-08-14,Customer payment for Order 0305,1000,SALE,RECORDED
E0306,TXN0306,C120,2026-08-19,Customer payment for Order 0306,15000,SALE,RECORDED
E0307,TXN0307,C140,2026-08-14,Customer payment for Order 0307,7500,SALE,RECORDED
E0308,TXN0308,C120,2026-08-06,Customer payment for Order 0308,75000,SALE,RECORDED
E0309,TXN0309,C123,2026-08-03,Customer payment for Order 0309,15000,SALE,RECORDED
