bank_transaction_id,reference,transaction_date,description,credit,debit,balance
BANK0027_1,RZP-TXN0027-1,2026-08-10,Payment settlement TXN0027 - Part 1,30000.0,0,106019
BANK0027_2,RZP-TXN0027-2,2026-08-10,Payment settlement TXN0027 - Part 2,20000.0,0,456664
BANK0028,RZP-TXN002X,2026-08-05,Payment settlement TXN0028,50000.0,0,436048
BANK0029,RZP-TXN0029,2026-08-05,Payment settlement TXN0029,7500.0,0,337881
BANK0030,RZP-TXN003X,2026-08-10,Payment settlement TXN0030,50000.0,0,366171
BANK0031,RZP-TXN0031,2026-08-22,Payment settlement TXN0031,4500.0,0,366161
BANK0032,RZP-TXN0032,2026-08-08,Payment settlement TXN0032,2500.0,0,184698
BANK0033,RZP-TXN0033,2026-08-18,Payment settlement TXN0033,900.0,0,356170
BANK0034_1,RZP-TXN0034-1,2026-08-05,Payment settlement TXN0034 - Part 1,6000.0,0,261225
BANK0034_2,RZP-TXN0034-2,2026-08-05,Payment settlement TXN0034 - Part 2,4000.0,0,225541
BANK0035,RZP-TXN0035,2026-08-09,Payment settlement TXN0035,74500.0,0,483730
BANK0036,RZP-TXN003X,2026-08-04,Payment settlement TXN0036,50000.0,0,167314
BANK0037,RZP-TXN0037,2026-08-17,Payment settlement TXN0037,50000.0,0,376653
BANK0038,RZP-TXN0038,2026-08-15,Payment settlement TXN0038,3000.0,0,461689
BANK0040_1,RZP-TXN0040-1,2026-08-13,Payment settlement TXN0040 - Part 1,15000.0,0,336708
BANK0040_2,RZP-TXN0040-2,2026-08-13,Payment settlement TXN0040 - Part 2,10000.0,0,163441
BANK0041,RZP-TXN0041,2026-08-09,Payment settlement TXN0041,1500.0,0,408443
BANK0042,RZP-TXN0042,2026-08-09,Payment settlement TXN0042,75000.0,0,137220
BANK0043,RZP-TXN0043,2026-08-22,Payment settlement TXN0043,1000.0,0,116469
BANK0044,RZP-TXN0044,2026-08-04,Payment settlement TXN0044,50000.0,0,450737
BANK0045,RZP-TXN0045,2026-08-08,Payment settlement TXN0045,50000.0,0,399391
BANK0046,RZP-TXN004X,2026-08-17,Payment settlement TXN0046,5000.0,0,313416
BANK0047,RZP-TXN0047,2026-08-07,Payment settlement TXN0047,1500.0,0,285753
BANK0048_1,RZP-TXN0048-1,2026-08-15,Payment settlement TXN0048 - Part 1,15000.0,0,128401
BANK0048_2,RZP-TXN0048-2,2026-08-15,Payment settlement TXN0048 - Part 2,10000.0,0,453036
BANK0049,RZP-TXN0049,2026-08-22,Payment settlement TXN0049,1500.0,0,481793
BANK0050,RZP-TXN0050,2026-08-05,Payment settlement TXN0050,5000.0,0,381168
BANK0051,RZP-TXN0051,2026-08-06,Payment settlement TXN0051,15000.0,0,342550
BANK0052,RZP-TXN0052,2026-08-04,Payment settlement TXN0052,15000.0,0,388528
BANK0053,RZP-TXN0053,2026-08-03,Payment settlement TXN0053,30000.0,0,148896
BANK0054,RZP-TXN0054,2026-08-09,Payment settlement TXN0054,2500.0,0,352370
BANK0055,RZP-TXN0055,2026-08-14,Payment settlement TXN0055,1000.0,0,101130
BANK0056,RZP-TXN0056,2026-08-10,Payment settlement TXN0056,25000.0,0,465214
BANK0057,RZP-TXN0057,2026-08-19,Payment settlement TXN0057,25000.0,0,255560
BANK0058,RZP-TXN005X,2026-08-03,Payment settlement TXN0058,75000.0,0,131959
BANK0059,RZP-TXN0059,2026-08-12,Payment settlement TXN0059,1000.0,0,349974
BANK0060,RZP-TXN0060,2026-08-18,Payment settlement TXN0060,2500.0,0,366248
BANK0061,RZP-TXN0061,2026-08-07,Payment settlement TXN0061,1350.0,0,454005
BANK0062,RZP-TXN0062,2026-08-14,Payment settlement TXN0062,0.0,0,229087
BANK0063,RZP-TXN0063,2026-08-21,Payment settlement TXN0063,900.0,0,319794
BANK0064,RZP-TXN0064,2026-08-20,Payment settlement TXN0064,73500.0,0,236716
BANK0065,RZP-TXN0065,2026-08-12,Payment settlement TXN0065,5000.0,0,168617
BANK0066,RZP-TXN0066,2026-08-22,Payment settlement TXN0066,7350.0,0,494193
BANK0067,RZP-TXN0067,2026-08-02,Payment settlement TXN0067,22500.0,0,395170
BANK0068,RZP-TXN0068,2026-08-04,Payment settlement TXN0068,50000.0,0,239041
BANK0069_1,RZP-TXN0069-1,2026-08-13,Payment settlement TXN0069 - Part 1,900.0,0,293738
BANK0069_2,RZP-TXN0069-2,2026-08-13,Payment settlement TXN0069 - Part 2,600.0,0,249415
BANK0070,RZP-TXN0070,2026-08-18,Payment settlement TXN0070,50000.0,0,420695
BANK0071,RZP-TXN0071,2026-08-20,Payment settlement TXN0071,1000.0,0,390771
BANK0072,RZP-TXN0072,2026-08-05,Payment settlement TXN0072,2500.0,0,156117
BANK0073,RZP-TXN0073,2026-08-19,Payment settlement TXN0073,2500.0,0,417105
BANK0074,RZP-TXN0074,2026-08-14,Payment settlement TXN0074,5000.0,0,238403
BANK0075_1,RZP-TXN0075-1,2026-08-17,Payment settlement TXN0075 - Part 1,4500.0,0,126633
BANK0075_2,RZP-TXN0075-2,2026-08-17,Payment settlement TXN0075 - Part 2,3000.0,0,148390
BANK0076,RZP-TXN0076,2026-08-15,Payment settlement TXN0076,7500.0,0,274879
BANK0077,RZP-TXN0077,2026-08-06,Payment settlement TXN0077,7500.0,0,331649
BANK0078,RZP-TXN0078,2026-08-15,Payment settlement TXN0078,50000.0,0,139449
BANK0079,RZP-TXN0079,2026-08-06,Payment settlement TXN0079,50000.0,0,293575
BANK0080,RZP-TXN0080,2026-08-19,Payment settlement TXN0080,2500.0,0,121930
BANK0081_1,RZP-TXN0081-1,2026-08-13,Payment settlement TXN0081 - Part 1,600.0,0,210140
BANK0081_2,RZP-TXN0081-2,2026-08-13,Payment settlement TXN0081 - Part 2,400.0,0,457599
BANK0082,RZP-TXN008X,2026-08-05,Payment settlement TXN0082,10000.0,0,313058
BANK0083_1,RZP-TXN0083-1,2026-08-06,Payment settlement TXN0083 - Part 1,3000.0,0,192826
BANK0083_2,RZP-TXN0083-2,2026-08-06,Payment settlement TXN0083 - Part 2,2000.0,0,316161
BANK0084,RZP-TXN008X,2026-08-07,Payment settlement TXN0084,10000.0,0,315856
BANK0085,RZP-TXN0085,2026-08-09,Payment settlement TXN0085,7500.0,0,467671
BANK0086,RZP-TXN0086,2026-08-14,Payment settlement TXN0086,600.0,0,216619
BANK0087,RZP-TXN0087,2026-08-16,Payment settlement TXN0087,10000.0,0,219325
BANK0088,RZP-TXN0088,2026-08-02,Payment settlement TXN0088,5000.0,0,246068
BANK0089,RZP-TXN0089,2026-08-12,Payment settlement TXN0089,10000.0,0,309546
BANK0090,RZP-TXN0090,2026-08-19,Payment settlement TXN0090,9500.0,0,236951
BANK0091,RZP-TXN0091,2026-08-20,Payment settlement TXN0091,7500.0,0,412775
BANK0092,RZP-TXN0092,2026-08-13,Payment settlement TXN0092,10000.0,0,368132
BANK0093,RZP-TXN0093,2026-08-14,Payment settlement TXN0093,75000.0,0,123271
BANK0094,RZP-TXN0094,2026-08-15,Payment settlement TXN0094,980.0,0,382303
BANK0095,RZP-TXN0095,2026-08-08,Payment settlement TXN0095,10000.0,0,448251
BANK0096,RZP-TXN0096,2026-08-23,Payment settlement TXN0096,10000.0,0,165339
BANK0097,RZP-TXN0097,2026-08-11,Payment settlement TXN0097,50000.0,0,314115
BANK0098,RZP-TXN0098,2026-08-14,Payment settlement TXN0098,6750.0,0,200579
BANK0099,RZP-TXN0099,2026-08-14,Payment settlement TXN0099,2250.0,0,257784
BANK0100,RZP-TXN0100,2026-08-19,Payment settlement TXN0100,1000.0,0,210196
BANK0101,RZP-TXN0101,2026-08-22,Payment settlement TXN0101,75000.0,0,343787
BANK0102,RZP-TXN0102,2026-08-16,Payment settlement TXN0102,4900.0,0,485855
BANK0103,RZP-TXN0103,2026-08-04,Payment settlement TXN0103,7350.0,0,431843
BANK0104,RZP-TXN0104,2026-08-12,Payment settlement TXN0104,900.0,0,493812
BANK0105,RZP-TXN0105,2026-08-11,Payment settlement TXN0105,3000.0,0,177255
BANK0107,RZP-TXN0107,2026-08-04,Payment settlement TXN0107,25000.0,0,430178
BANK0108,RZP-TXN0108,2026-08-08,Payment settlement TXN0108,14700.0,0,227918
BANK0109_1,RZP-TXN0109-1,2026-08-22,Payment settlement TXN0109 - Part 1,600.0,0,155882
BANK0109_2,RZP-TXN0109-2,2026-08-22,Payment settlement TXN0109 - Part 2,400.0,0,322899
BANK0110,RZP-TXN0110,2026-08-07,Payment settlement TXN0110,49000.0,0,392241
BANK0111,RZP-TXN0111,2026-08-05,Payment settlement TXN0111,25000.0,0,343606
BANK0112,RZP-TXN0112,2026-08-18,Payment settlement TXN0112,45000.0,0,495968
BANK0113,RZP-TXN0113,2026-08-21,Payment settlement TXN0113,50000.0,0,387242
BANK0114,RZP-TXN0114,2026-08-07,Payment settlement TXN0114,24500.0,0,494147
BANK0115,RZP-TXN011X,2026-08-22,Payment settlement TXN0115,7500.0,0,373311
BANK0116,RZP-TXN0116,2026-08-22,Payment settlement TXN0116,5000.0,0,140623
BANK0117,RZP-TXN0117,2026-08-11,Payment settlement TXN0117,5000.0,0,267619
BANK0118,RZP-TXN0118,2026-08-04,Payment settlement TXN0118,2500.0,0,300820
BANK0119,RZP-TXN0119,2026-08-06,Payment settlement TXN0119,5000.0,0,313699
BANK0120,RZP-TXN0120,2026-08-19,Payment settlement TXN0120,25000.0,0,208440
BANK0121,RZP-TXN0121,2026-08-14,Payment settlement TXN0121,74500.0,0,401827
BANK0122,RZP-TXN0122,2026-08-17,Payment settlement TXN0122,0.0,0,495037
BANK0123,RZP-TXN012X,2026-08-15,Payment settlement TXN0123,50000.0,0,386330
BANK0124,RZP-TXN0124,2026-08-09,Payment settlement TXN0124,25000.0,0,328503
BANK0125,RZP-TXN0125,2026-08-02,Payment settlement TXN0125,15000.0,0,456065
BANK0126,RZP-TXN0126,2026-08-07,Payment settlement TXN0126,23000.0,0,380034
BANK0127,RZP-TXN0127,2026-08-14,Payment settlement TXN0127,67500.0,0,114209
BANK0128,RZP-TXN0128,2026-08-22,Payment settlement TXN0128,15000.0,0,342062
BANK0129,RZP-TXN0129,2026-08-03,Payment settlement TXN0129,7500.0,0,210970
BANK0130,RZP-TXN013X,2026-08-12,Payment settlement TXN0130,10000.0,0,298771
BANK0131,RZP-TXN0131,2026-08-15,Payment settlement TXN0131,4500.0,0,346576
BANK0133,RZP-TXN013X,2026-08-09,Payment settlement TXN0133,1500.0,0,441707
BANK0134,RZP-TXN0134,2026-08-02,Payment settlement TXN0134,5000.0,0,110684
BANK0135,RZP-TXN0135,2026-08-06,Payment settlement TXN0135,5000.0,0,450989
BANK0136,RZP-TXN0136,2026-08-20,Payment settlement TXN0136,4900.0,0,234345
BANK0137,RZP-TXN0137,2026-08-13,Payment settlement TXN0137,2250.0,0,492128
BANK0139,RZP-TXN0139,2026-08-20,Payment settlement TXN0139,0.0,0,455125
BANK0140,RZP-TXN0140,2026-08-14,Payment settlement TXN0140,5000.0,0,462080
BANK0141,RZP-TXN0141,2026-08-11,Payment settlement TXN0141,1500.0,0,258116
BANK0142,RZP-TXN0142,2026-08-21,Payment settlement TXN0142,900.0,0,396711
BANK0143,RZP-TXN0143,2026-08-13,Payment settlement TXN0143,50000.0,0,294285
BANK0144,RZP-TXN0144,2026-08-18,Payment settlement TXN0144,10000.0,0,320231
BANK0146,RZP-TXN0146,2026-08-16,Payment settlement TXN0146,2500.0,0,484720
BANK0147,RZP-TXN0147,2026-08-22,Payment settlement TXN0147,6750.0,0,382157
BANK0148,RZP-TXN0148,2026-08-17,Payment settlement TXN0148,25000.0,0,483268
BANK0149,RZP-TXN0149,2026-08-10,Payment settlement TXN0149,6000.0,0,145436
BANK0150,RZP-TXN015X,2026-08-16,Payment settlement TXN0150,5000.0,0,398765
BANK0151,RZP-TXN0151,2026-08-14,Payment settlement TXN0151,10000.0,0,270401
BANK0152,RZP-TXN0152,2026-08-17,Payment settlement TXN0152,5000.0,0,235451
BANK0153,RZP-TXN0153,2026-08-12,Payment settlement TXN0153,75000.0,0,244844
BANK0154,RZP-TXN0154,2026-08-02,Payment settlement TXN0154,49500.0,0,226540
BANK0155,RZP-TXN0155,2026-08-15,Payment settlement TXN0155,22500.0,0,225998
BANK0156,RZP-TXN0156,2026-08-17,Payment settlement TXN0156,25000.0,0,109040
BANK0157,RZP-TXN0157,2026-08-11,Payment settlement TXN0157,5000.0,0,227561
BANK0158,RZP-TXN0158,2026-08-20,Payment settlement TXN0158,9800.0,0,378355
BANK0159,RZP-TXN0159,2026-08-15,Payment settlement TXN0159,50000.0,0,468498
BANK0160,RZP-TXN0160,2026-08-10,Payment settlement TXN0160,7500.0,0,163258
BANK0161,RZP-TXN0161,2026-08-08,Payment settlement TXN0161,10000.0,0,380947
BANK0162,RZP-TXN0162,2026-08-07,Payment settlement TXN0162,5000.0,0,353859
BANK0163,RZP-TXN0163,2026-08-20,Payment settlement TXN0163,45000.0,0,152704
BANK0164,RZP-TXN0164,2026-08-11,Payment settlement TXN0164,5000.0,0,258475
BANK0165,RZP-TXN0165,2026-08-19,Payment settlement TXN0165,2500.0,0,128587
BANK0166,RZP-TXN0166,2026-08-13,Payment settlement TXN0166,2500.0,0,494679
BANK0167,RZP-TXN0167,2026-08-05,Payment settlement TXN0167,900.0,0,346099
BANK0168,RZP-TXN0168,2026-08-16,Payment settlement TXN0168,10000.0,0,126936
BANK0169,RZP-TXN0169,2026-08-17,Payment settlement TXN0169,900.0,0,310086
BANK0170,RZP-TXN0170,2026-08-04,Payment settlement TXN0170,67500.0,0,128106
BANK0171,RZP-TXN0171,2026-08-06,Payment settlement TXN0171,74500.0,0,230123
BANK0172,RZP-TXN0172,2026-08-19,Payment settlement TXN0172,13500.0,0,424229
BANK0173,RZP-TXN0173,2026-08-18,Payment settlement TXN0173,14700.0,0,332113
BANK0174,RZP-TXN0174,2026-08-20,Payment settlement TXN0174,15000.0,0,425597
BANK0175,RZP-TXN0175,2026-08-21,Payment settlement TXN0175,1000.0,0,427950
BANK0176,RZP-TXN0176,2026-08-10,Payment settlement TXN0176,1500.0,0,191128
BANK0177,RZP-TXN0177,2026-08-04,Payment settlement TXN0177,2500.0,0,336193
BANK0178,RZP-TXN0178,2026-08-21,Payment settlement TXN0178,25000.0,0,221360
BANK0179,RZP-TXN0179,2026-08-11,Payment settlement TXN0179,25000.0,0,222381
BANK0180,RZP-TXN0180,2026-08-24,Payment settlement TXN0180,75000.0,0,203714
BANK0181,RZP-TXN0181,2026-08-05,Payment settlement TXN0181,50000.0,0,178113
BANK0182,RZP-TXN0182,2026-08-06,Payment settlement TXN0182,1500.0,0,261277
BANK0183,RZP-TXN0183,2026-08-20,Payment settlement TXN0183,7500.0,0,345732
BANK0184,RZP-TXN0184,2026-08-11,Payment settlement TXN0184,13000.0,0,383105
BANK0185,RZP-TXN0185,2026-08-16,Payment settlement TXN0185,1350.0,0,326507
BANK0186,RZP-TXN0186,2026-08-12,Payment settlement TXN0186,75000.0,0,147881
BANK0187,RZP-TXN0187,2026-08-20,Payment settlement TXN0187,73000.0,0,241301
BANK0188,RZP-TXN0188,2026-08-03,Payment settlement TXN0188,2450.0,0,441578
BANK0191,RZP-TXN0191,2026-08-13,Payment settlement TXN0191,15000.0,0,451342
BANK0192,RZP-TXN0192,2026-08-07,Payment settlement TXN0192,10000.0,0,359768
BANK0193,RZP-TXN0193,2026-08-14,Payment settlement TXN0193,50000.0,0,146168
BANK0194,RZP-TXN0194,2026-08-10,Payment settlement TXN0194,10000.0,0,311904
BANK0195,RZP-TXN0195,2026-08-02,Payment settlement TXN0195,49000.0,0,128418
BANK0196,RZP-TXN0196,2026-08-18,Payment settlement TXN0196,9000.0,0,361353
BANK0197,RZP-TXN0197,2026-08-16,Payment settlement TXN0197,1000.0,0,387949
BANK0198_1,RZP-TXN0198-1,2026-08-11,Payment settlement TXN0198 - Part 1,15000.0,0,354128
BANK0198_2,RZP-TXN0198-2,2026-08-11,Payment settlement TXN0198 - Part 2,10000.0,0,163662
BANK0199,RZP-TXN0199,2026-08-22,Payment settlement TXN0199,45000.0,0,472130
BANK0200,RZP-TXN0200,2026-08-11,Payment settlement TXN0200,50000.0,0,313904
BANK0201,RZP-TXN0201,2026-08-09,Payment settlement TXN0201,1470.0,0,161586
BANK0202,RZP-TXN0202,2026-08-06,Payment settlement TXN0202,24000.0,0,366795
BANK0203,RZP-TXN0203,2026-08-10,Payment settlement TXN0203,9000.0,0,347579
BANK0204,RZP-TXN0204,2026-08-16,Payment settlement TXN0204,50000.0,0,199934
BANK0205_1,RZP-TXN0205-1,2026-08-18,Payment settlement TXN0205 - Part 1,1500.0,0,244833
BANK0205_2,RZP-TXN0205-2,2026-08-18,Payment settlement TXN0205 - Part 2,1000.0,0,317549
BANK0206,RZP-TXN0206,2026-08-18,Payment settlement TXN0206,4500.0,0,248289
BANK0207,RZP-TXN0207,2026-08-11,Payment settlement TXN0207,67500.0,0,445999
BANK0208,RZP-TXN0208,2026-08-06,Payment settlement TXN0208,24500.0,0,280944
BANK0209,RZP-TXN0209,2026-08-19,Payment settlement TXN0209,50000.0,0,268704
BANK0210,RZP-TXN0210,2026-08-09,Payment settlement TXN0210,75000.0,0,315364
BANK0211,RZP-TXN0211,2026-08-14,Payment settlement TXN0211,25000.0,0,299874
BANK0212,RZP-TXN0212,2026-08-22,Payment settlement TXN0212,2450.0,0,119408
BANK0213,RZP-TXN0213,2026-08-18,Payment settlement TXN0213,75000.0,0,152619
BANK0214,RZP-TXN0214,2026-08-05,Payment settlement TXN0214,49500.0,0,478768
BANK0215,RZP-TXN0215,2026-08-15,Payment settlement TXN0215,2500.0,0,238948
BANK0216,RZP-TXN0216,2026-08-23,Payment settlement TXN0216,15000.0,0,272262
BANK0217,RZP-TXN0217,2026-08-19,Payment settlement TXN0217,13000.0,0,476814
BANK0218,RZP-TXN0218,2026-08-17,Payment settlement TXN0218,50000.0,0,135872
BANK0221,RZP-TXN0221,2026-08-22,Payment settlement TXN0221,1500.0,0,463856
BANK0222,RZP-TXN0222,2026-08-02,Payment settlement TXN0222,1000.0,0,129422
BANK0223,RZP-TXN0223,2026-08-13,Payment settlement TXN0223,10000.0,0,228029
BANK0224,RZP-TXN0224,2026-08-17,Payment settlement TXN0224,75000.0,0,194401
BANK0225,RZP-TXN0225,2026-08-07,Payment settlement TXN0225,1350.0,0,300563
BANK0226,RZP-TXN0226,2026-08-09,Payment settlement TXN0226,24500.0,0,221733
BANK0227,RZP-TXN0227,2026-08-22,Payment settlement TXN0227,7350.0,0,449616
BANK0228,RZP-TXN0228,2026-08-18,Payment settlement TXN0228,7500.0,0,182824
BANK0230,RZP-TXN0230,2026-08-24,Payment settlement TXN0230,15000.0,0,339513
BANK0231,RZP-TXN0231,2026-08-08,Payment settlement TXN0231,9000.0,0,155917
BANK0232,RZP-TXN0232,2026-08-14,Payment settlement TXN0232,75000.0,0,255122
BANK0234,RZP-TXN0234,2026-08-14,Payment settlement TXN0234,7500.0,0,459556
BANK0235,RZP-TXN023X,2026-08-03,Payment settlement TXN0235,75000.0,0,250048
BANK0236,RZP-TXN0236,2026-08-09,Payment settlement TXN0236,45000.0,0,214821
BANK0237,RZP-TXN0237,2026-08-08,Payment settlement TXN0237,75000.0,0,496140
BANK0238_1,RZP-TXN0238-1,2026-08-06,Payment settlement TXN0238 - Part 1,900.0,0,438868
BANK0238_2,RZP-TXN0238-2,2026-08-06,Payment settlement TXN0238 - Part 2,600.0,0,120668
BANK0239,RZP-TXN0239,2026-08-16,Payment settlement TXN0239,900.0,0,483967
BANK0240,RZP-TXN0240,2026-08-04,Payment settlement TXN0240,7500.0,0,317843
BANK0241,RZP-TXN024X,2026-08-08,Payment settlement TXN0241,2500.0,0,291814
BANK0242,RZP-TXN0242,2026-08-18,Payment settlement TXN0242,4500.0,0,234726
BANK0243,RZP-TXN0243,2026-08-11,Payment settlement TXN0243,6000.0,0,345540
BANK0244_1,RZP-TXN0244-1,2026-08-06,Payment settlement TXN0244 - Part 1,3000.0,0,479698
BANK0244_2,RZP-TXN0244-2,2026-08-06,Payment settlement TXN0244 - Part 2,2000.0,0,453583
BANK0245,RZP-TXN0245,2026-08-19,Payment settlement TXN0245,10000.0,0,306870
BANK0246,RZP-TXN0246,2026-08-10,Payment settlement TXN0246,50000.0,0,293245
BANK0247,RZP-TXN0247,2026-08-10,Payment settlement TXN0247,75000.0,0,434783
BANK0248,RZP-TXN0248,2026-08-05,Payment settlement TXN0248,4900.0,0,424820
BANK0249,RZP-TXN0249,2026-08-12,Payment settlement TXN0249,75000.0,0,133143
BANK0250,RZP-TXN0250,2026-08-18,Payment settlement TXN0250,7500.0,0,161171
BANK0251,RZP-TXN0251,2026-08-03,Payment settlement TXN0251,1000.0,0,358277
BANK0252_1,RZP-TXN0252-1,2026-08-05,Payment settlement TXN0252 - Part 1,3000.0,0,171127
BANK0252_2,RZP-TXN0252-2,2026-08-05,Payment settlement TXN0252 - Part 2,2000.0,0,303762
BANK0253,RZP-TXN0253,2026-08-13,Payment settlement TXN0253,50000.0,0,489162
BANK0254,RZP-TXN0254,2026-08-08,Payment settlement TXN0254,15000.0,0,356558
BANK0255,RZP-TXN0255,2026-08-15,Payment settlement TXN0255,7500.0,0,294264
BANK0256,RZP-TXN0256,2026-08-16,Payment settlement TXN0256,24000.0,0,152090
BANK0257_1,RZP-TXN0257-1,2026-08-13,Payment settlement TXN0257 - Part 1,30000.0,0,438074
BANK0257_2,RZP-TXN0257-2,2026-08-13,Payment settlement TXN0257 - Part 2,20000.0,0,288048
BANK0258,RZP-TXN0258,2026-08-14,Payment settlement TXN0258,7500.0,0,164046
BANK0259,RZP-TXN0259,2026-08-06,Payment settlement TXN0259,5000.0,0,413076
BANK0260,RZP-TXN0260,2026-08-03,Payment settlement TXN0260,10000.0,0,166020
BANK0261,RZP-TXN0261,2026-08-08,Payment settlement TXN0261,900.0,0,390564
BANK0262,RZP-TXN0262,2026-08-20,Payment settlement TXN0262,3000.0,0,222158
BANK0263,RZP-TXN0263,2026-08-06,Payment settlement TXN0263,75000.0,0,175858
BANK0264,RZP-TXN0264,2026-08-19,Payment settlement TXN0264,4500.0,0,157633
BANK0265,RZP-TXN0265,2026-08-02,Payment settlement TXN0265,2500.0,0,224744
BANK0266,RZP-TXN0266,2026-08-12,Payment settlement TXN0266,1000.0,0,127472
BANK0267,RZP-TXN0267,2026-08-15,Payment settlement TXN0267,50000.0,0,133322
BANK0268,RZP-TXN0268,2026-08-16,Payment settlement TXN0268,9800.0,0,157175
BANK0269,RZP-TXN0269,2026-08-18,Payment settlement TXN0269,4500.0,0,481284
BANK0270,RZP-TXN0270,2026-08-18,Payment settlement TXN0270,7350.0,0,116331
BANK0271,RZP-TXN0271,2026-08-17,Payment settlement TXN0271,15000.0,0,156603
BANK0272_1,RZP-TXN0272-1,2026-08-16,Payment settlement TXN0272 - Part 1,900.0,0,268879
BANK0272_2,RZP-TXN0272-2,2026-08-16,Payment settlement TXN0272 - Part 2,600.0,0,418923
BANK0273,RZP-TXN0273,2026-08-04,Payment settlement TXN0273,2500.0,0,431914
BANK0274,RZP-TXN0274,2026-08-19,Payment settlement TXN0274,10000.0,0,413205
BANK0275,RZP-TXN0275,2026-08-11,Payment settlement TXN0275,24500.0,0,325548
BANK0276,RZP-TXN027X,2026-08-05,Payment settlement TXN0276,50000.0,0,212734
BANK0277,RZP-TXN0277,2026-08-16,Payment settlement TXN0277,5000.0,0,337764
BANK0278,RZP-TXN0278,2026-08-15,Payment settlement TXN0278,1500.0,0,263852
BANK0279,RZP-TXN0279,2026-08-10,Payment settlement TXN0279,8000.0,0,348652
BANK0280,RZP-TXN0280,2026-08-04,Payment settlement TXN0280,1500.0,0,150627
BANK0281,RZP-TXN0281,2026-08-13,Payment settlement TXN0281,2250.0,0,407476
BANK0282,RZP-TXN0282,2026-08-21,Payment settlement TXN0282,10000.0,0,315382
BANK0284,RZP-TXN0284,2026-08-11,Payment settlement TXN0284,10000.0,0,366030
BANK0285,RZP-TXN0285,2026-08-06,Payment settlement TXN0285,25000.0,0,156737
BANK0286,RZP-TXN0286,2026-08-19,Payment settlement TXN0286,10000.0,0,246049
BANK0287,RZP-TXN0287,2026-08-09,Payment settlement TXN0287,9000.0,0,425962
BANK0288,RZP-TXN0288,2026-08-22,Payment settlement TXN0288,50000.0,0,444893
BANK0289,RZP-TXN0289,2026-08-10,Payment settlement TXN0289,1000.0,0,468416
BANK0290,RZP-TXN0290,2026-08-11,Payment settlement TXN0290,10000.0,0,195108
BANK0291,RZP-TXN0291,2026-08-20,Payment settlement TXN0291,15000.0,0,488481
BANK0292,RZP-TXN029X,2026-08-02,Payment settlement TXN0292,1500.0,0,212791
BANK0293,RZP-TXN0293,2026-08-15,Payment settlement TXN0293,25000.0,0,294014
BANK0294,RZP-TXN0294,2026-08-12,Payment settlement TXN0294,67500.0,0,127582
BANK0295,RZP-TXN0295,2026-08-07,Payment settlement TXN0295,75000.0,0,142772
BANK0296,RZP-TXN0296,2026-08-16,Payment settlement TXN0296,14700.0,0,331758
BANK0297,RZP-TXN029X,2026-08-10,Payment settlement TXN0297,5000.0,0,159673
BANK0298,RZP-TXN0298,2026-08-15,Payment settlement TXN0298,1500.0,0,455722
BANK0299,RZP-TXN0299,2026-08-19,Payment settlement TXN0299,50000.0,0,123811
BANK0300,RZP-TXN0300,2026-08-14,Payment settlement TXN0300,75000.0,0,207176
