payment_id,settlement_id,transaction_id,customer_id,payment_date,gross_amount,fee,refund_amount,net_settlement,settlement_date,settlement_status,reference
PAY0039,SET0039,TXN0039,C112,2026-08-10,15000.0,0.0,0.0,15000.0,2026-08-11,SETTLED,RZP-TXN0039
PAY0040,SET0040_1,TXN0040,C141,2026-08-12,15000.0,0.0,0.0,15000.0,2026-08-13,SETTLED,RZP-TXN0040-1
PAY0040,SET0040_2,TXN0040,C141,2026-08-12,10000.0,0.0,0.0,10000.0,2026-08-13,SETTLED,RZP-TXN0040-2
PAY0041,SET0041,TXN0041,C115,2026-08-08,1500.0,0.0,0.0,1500.0,2026-08-09,SETTLED,RZP-TXN0041
PAY0042,SET0042,TXN0042,C135,2026-08-08,75000.0,0.0,0.0,75000.0,2026-08-09,SETTLED,RZP-TXN0042
PAY0043,SET0043,TXN0043,C145,2026-08-21,1000.0,0.0,0.0,1000.0,2026-08-22,SETTLED,RZP-TXN0043
PAY0044,SET0044,TXN0044,C121,2026-08-03,50000.0,0.0,0.0,50000.0,2026-08-04,SETTLED,RZP-TXN0044
PAY0045,SET0045,TXN0045,C131,2026-08-07,50000.0,0.0,0.0,50000.0,2026-08-08,SETTLED,RZP-TXN0045
PAY0046,SET0046,TXN0046,C136,2026-08-16,5000.0,0.0,0.0,5000.0,2026-08-17,SETTLED,RZP-TXN004X
PAY0047,SET0047,TXN0047,C112,2026-08-04,1500.0,0.0,0.0,1500.0,2026-08-07,SETTLED,RZP-TXN0047
PAY0048,SET0048_1,TXN0048,C127,2026-08-14,15000.0,0.0,0.0,15000.0,2026-08-15,SETTLED,RZP-TXN0048-1
PAY0048,SET0048_2,TXN0048,C127,2026-08-14,10000.0,0.0,0.0,10000.0,2026-08-15,SETTLED,RZP-TXN0048-2
PAY0049,SET0049,TXN0049,C141,2026-08-21,1500.0,0.0,0.0,1500.0,2026-08-22,SETTLED,RZP-TXN0049
PAY0050,SET0050,TXN0050,C121,2026-08-04,5000.0,0.0,0.0,5000.0,2026-08-05,SETTLED,RZP-TXN0050
PAY0051,SET0051,TXN0051,C128,2026-08-05,15000.0,0.0,0.0,15000.0,2026-08-06,SETTLED,RZP-TXN0051
PAY0052,SET0052,TXN0052,C115,2026-08-03,25000.0,0.0,0.0,15000.0,2026-08-04,SETTLED,RZP-TXN0052
PAY0053,SET0053,TXN0053,C106,2026-08-02,50000.0,0.0,0.0,30000.0,2026-08-03,SETTLED,RZP-TXN0053
PAY0054,SET0054,TXN0054,C148,2026-08-08,2500.0,0.0,0.0,2500.0,2026-08-09,SETTLED,RZP-TXN0054
PAY0055,SET0055,TXN0055,C113,2026-08-13,1000.0,0.0,0.0,1000.0,2026-08-14,SETTLED,RZP-TXN0055
PAY0056,SET0056,TXN0056,C124,2026-08-09,25000.0,0.0,0.0,25000.0,2026-08-10,SETTLED,RZP-TXN0056
PAY0057,SET0057,TXN0057,C146,2026-08-18,25000.0,0.0,0.0,25000.0,2026-08-19,SETTLED,RZP-TXN0057
PAY0058,SET0058,TXN0058,C113,2026-08-02,75000.0,0.0,0.0,75000.0,2026-08-03,SETTLED,RZP-TXN005X
PAY0059,SET0059,TXN0059,C147,2026-08-11,1000.0,0.0,0.0,1000.0,2026-08-12,SETTLED,RZP-TXN0059
PAY0060,SET0060,TXN0060,C132,2026-08-17,2500.0,0.0,0.0,2500.0,2026-08-18,SETTLED,RZP-TXN0060
PAY0061,SET0061,TXN0061,C105,2026-08-06,1500.0,0.0,150.0,1350.0,2026-08-07,SETTLED,RZP-TXN0061
PAY0062,SET0062,TXN0062,C115,2026-08-13,1500.0,0.0,0.0,0.0,2026-08-14,SETTLED,RZP-TXN0062
PAY0063,SET0063,TXN0063,C137,2026-08-20,1000.0,0.0,100.0,900.0,2026-08-21,SETTLED,RZP-TXN0063
PAY0064,SET0064,TXN0064,C142,2026-08-19,75000.0,1500.0,0.0,73500.0,2026-08-20,SETTLED,RZP-TXN0064
PAY0065,SET0065,TXN0065,C113,2026-08-11,5000.0,0.0,0.0,5000.0,2026-08-12,SETTLED,RZP-TXN0065
PAY0066,SET0066,TXN0066,C142,2026-08-21,7500.0,150.0,0.0,7350.0,2026-08-22,SETTLED,RZP-TXN0066
PAY0067,SET0067,TXN0067,C104,2026-08-01,25000.0,0.0,2500.0,22500.0,2026-08-02,SETTLED,RZP-TXN0067
PAY0068,SET0068,TXN0068,C106,2026-08-03,50000.0,0.0,0.0,50000.0,2026-08-04,SETTLED,RZP-TXN0068
PAY0069,SET0069_1,TXN0069,C108,2026-08-12,900.0,0.0,0.0,900.0,2026-08-13,SETTLED,RZP-TXN0069-1
PAY0069,SET0069_2,TXN0069,C108,2026-08-12,600.0,0.0,0.0,600.0,2026-08-13,SETTLED,RZP-TXN0069-2
PAY0070,SET0070,TXN0070,C110,2026-08-15,50000.0,0.0,0.0,50000.0,2026-08-18,SETTLED,RZP-TXN0070
PAY0071,SET0071,TXN0071,C141,2026-08-17,1000.0,0.0,0.0,1000.0,2026-08-20,SETTLED,RZP-TXN0071
PAY0072,SET0072,TXN0072,C119,2026-08-04,2500.0,0.0,0.0,2500.0,2026-08-05,SETTLED,RZP-TXN0072
PAY0073,SET0073,TXN0073,C147,2026-08-18,2500.0,0.0,0.0,2500.0,2026-08-19,SETTLED,RZP-TXN0073
PAY0074,SET0074,TXN0074,C113,2026-08-11,5000.0,0.0,0.0,5000.0,2026-08-14,SETTLED,RZP-TXN0074
PAY0075,SET0075_1,TXN0075,C132,2026-08-16,4500.0,0.0,0.0,4500.0,2026-08-17,SETTLED,RZP-TXN0075-1
PAY0075,SET0075_2,TXN0075,C132,2026-08-16,3000.0,0.0,0.0,3000.0,2026-08-17,SETTLED,RZP-TXN0075-2
PAY0076,SET0076,TXN0076,C140,2026-08-14,7500.0,0.0,0.0,7500.0,2026-08-15,SETTLED,RZP-TXN0076
PAY0077,SET0077,TXN0077,C149,2026-08-05,7500.0,0.0,0.0,7500.0,2026-08-06,SETTLED,RZP-TXN0077
PAY0078,SET0078,TXN0078,C135,2026-08-14,50000.0,0.0,0.0,50000.0,2026-08-15,SETTLED,RZP-TXN0078
PAY0079,SET0079,TXN0079,C144,2026-08-05,50000.0,0.0,0.0,50000.0,2026-08-06,SETTLED,RZP-TXN0079
PAY0080,SET0080,TXN0080,C137,2026-08-18,2500.0,0.0,0.0,2500.0,2026-08-19,SETTLED,RZP-TXN0080
PAY0081,SET0081_1,TXN0081,C119,2026-08-12,600.0,0.0,0.0,600.0,2026-08-13,SETTLED,RZP-TXN0081-1
PAY0081,SET0081_2,TXN0081,C119,2026-08-12,400.0,0.0,0.0,400.0,2026-08-13,SETTLED,RZP-TXN0081-2
PAY0082,SET0082,TXN0082,C115,2026-08-04,10000.0,0.0,0.0,10000.0,2026-08-05,SETTLED,RZP-TXN008X
PAY0083,SET0083_1,TXN0083,C139,2026-08-05,3000.0,0.0,0.0,3000.0,2026-08-06,SETTLED,RZP-TXN0083-1
PAY0083,SET0083_2,TXN0083,C139,2026-08-05,2000.0,0.0,0.0,2000.0,2026-08-06,SETTLED,RZP-TXN0083-2
PAY0084,SET0084,TXN0084,C101,2026-08-06,10000.0,0.0,0.0,10000.0,2026-08-07,SETTLED,RZP-TXN008X
PAY0085,SET0085,TXN0085,C142,2026-08-08,7500.0,0.0,0.0,7500.0,2026-08-09,SETTLED,RZP-TXN0085
PAY0086,SET0086,TXN0086,C106,2026-08-13,1000.0,0.0,0.0,600.0,2026-08-14,SETTLED,RZP-TXN0086
PAY0087,SET0087,TXN0087,C112,2026-08-15,10000.0,0.0,0.0,10000.0,2026-08-16,SETTLED,RZP-TXN0087
PAY0088,SET0088,TXN0088,C114,2026-08-01,5000.0,0.0,0.0,5000.0,2026-08-02,SETTLED,RZP-TXN0088
PAY0089,SET0089,TXN0089,C104,2026-08-09,10000.0,0.0,0.0,10000.0,2026-08-12,SETTLED,RZP-TXN0089
PAY0090,SET0090,TXN0090,C143,2026-08-18,10000.0,0.0,0.0,9500.0,2026-08-19,SETTLED,RZP-TXN0090
PAY0091,SET0091,TXN0091,C111,2026-08-19,7500.0,0.0,0.0,7500.0,2026-08-20,SETTLED,RZP-TXN0091
PAY0092,SET0092,TXN0092,C127,2026-08-12,10000.0,0.0,0.0,10000.0,2026-08-13,SETTLED,RZP-TXN0092
PAY0093,SET0093,TXN0093,C107,2026-08-13,75000.0,0.0,0.0,75000.0,2026-08-14,SETTLED,RZP-TXN0093
PAY0094,SET0094,TXN0094,C145,2026-08-14,1000.0,20.0,0.0,980.0,2026-08-15,SETTLED,RZP-TXN0094
PAY0095,SET0095,TXN0095,C143,2026-08-07,10000.0,0.0,0.0,10000.0,2026-08-08,SETTLED,RZP-TXN0095
PAY0096,SET0096,TXN0096,C121,2026-08-20,10000.0,0.0,0.0,10000.0,2026-08-23,SETTLED,RZP-TXN0096
PAY0097,SET0097,TXN0097,C146,2026-08-10,50000.0,0.0,0.0,50000.0,2026-08-11,SETTLED,RZP-TXN0097
PAY0098,SET0098,TXN0098,C120,2026-08-13,7500.0,0.0,750.0,6750.0,2026-08-14,SETTLED,RZP-TXN0098
PAY0099,SET0099,TXN0099,C126,2026-08-13,2500.0,0.0,250.0,2250.0,2026-08-14,SETTLED,RZP-TXN0099
PAY0100,SET0100,TXN0100,C125,2026-08-18,1000.0,0.0,0.0,1000.0,2026-08-19,SETTLED,RZP-TXN0100
PAY0101,SET0101,TXN0101,C127,2026-08-19,75000.0,0.0,0.0,75000.0,2026-08-22,SETTLED,RZP-TXN0101
PAY0102,SET0102,TXN0102,C128,2026-08-15,5000.0,100.0,0.0,4900.0,2026-08-16,SETTLED,RZP-TXN0102
PAY0103,SET0103,TXN0103,C110,2026-08-03,7500.0,150.0,0.0,7350.0,2026-08-04,SETTLED,RZP-TXN0103
PAY0104,SET0104,TXN0104,C139,2026-08-11,1500.0,0.0,0.0,900.0,2026-08-12,SETTLED,RZP-TXN0104
PAY0105,SET0105,TXN0105,C115,2026-08-10,5000.0,0.0,0.0,3000.0,2026-08-11,SETTLED,RZP-TXN0105
PAY0106,SET0106,TXN0106,C101,2026-08-02,5000.0,0.0,0.0,5000.0,2026-08-03,SETTLED,RZP-TXN0106
PAY0107,SET0107,TXN0107,C139,2026-08-03,25000.0,0.0,0.0,25000.0,2026-08-04,SETTLED,RZP-TXN0107
PAY0108,SET0108,TXN0108,C136,2026-08-07,15000.0,300.0,0.0,14700.0,2026-08-08,SETTLED,RZP-TXN0108
PAY0109,SET0109_1,TXN0109,C109,2026-08-21,600.0,0.0,0.0,600.0,2026-08-22,SETTLED,RZP-TXN0109-1
PAY0109,SET0109_2,TXN0109,C109,2026-08-21,400.0,0.0,0.0,400.0,2026-08-22,SETTLED,RZP-TXN0109-2
PAY0110,SET0110,TXN0110,C114,2026-08-06,50000.0,1000.0,0.0,49000.0,2026-08-07,SETTLED,RZP-TXN0110
PAY0111,SET0111,TXN0111,C115,2026-08-04,25000.0,0.0,0.0,25000.0,2026-08-05,SETTLED,RZP-TXN0111
PAY0112,SET0112,TXN0112,C142,2026-08-17,50000.0,0.0,5000.0,45000.0,2026-08-18,SETTLED,RZP-TXN0112
PAY0113,SET0113,TXN0113,C128,2026-08-20,50000.0,0.0,0.0,50000.0,2026-08-21,SETTLED,RZP-TXN0113
PAY0114,SET0114,TXN0114,C128,2026-08-06,25000.0,500.0,0.0,24500.0,2026-08-07,SETTLED,RZP-TXN0114
PAY0115,SET0115,TXN0115,C115,2026-08-21,7500.0,0.0,0.0,7500.0,2026-08-22,SETTLED,RZP-TXN011X
PAY0116,SET0116,TXN0116,C131,2026-08-21,5000.0,0.0,0.0,5000.0,2026-08-22,SETTLED,RZP-TXN0116
PAY0117,SET0117,TXN0117,C145,2026-08-10,5000.0,0.0,0.0,5000.0,2026-08-11,SETTLED,RZP-TXN0117
PAY0118,SET0118,TXN0118,C134,2026-08-03,2500.0,0.0,0.0,2500.0,2026-08-04,SETTLED,RZP-TXN0118
PAY0119,SET0119,TXN0119,C144,2026-08-05,5000.0,0.0,0.0,5000.0,2026-08-06,SETTLED,RZP-TXN0119
PAY0120,SET0120,TXN0120,C121,2026-08-18,25000.0,0.0,0.0,25000.0,2026-08-19,SETTLED,RZP-TXN0120
PAY0121,SET0121,TXN0121,C126,2026-08-13,75000.0,0.0,0.0,74500.0,2026-08-14,SETTLED,RZP-TXN0121
PAY0122,SET0122,TXN0122,C124,2026-08-16,1000.0,0.0,0.0,0.0,2026-08-17,SETTLED,RZP-TXN0122
PAY0123,SET0123,TXN0123,C124,2026-08-14,50000.0,0.0,0.0,50000.0,2026-08-15,SETTLED,RZP-TXN012X
PAY0124,SET0124,TXN0124,C138,2026-08-08,25000.0,0.0,0.0,25000.0,2026-08-09,SETTLED,RZP-TXN0124
PAY0125,SET0125,TXN0125,C131,2026-08-01,15000.0,0.0,0.0,15000.0,2026-08-02,SETTLED,RZP-TXN0125
PAY0126,SET0126,TXN0126,C125,2026-08-06,25000.0,0.0,0.0,23000.0,2026-08-07,SETTLED,RZP-TXN0126
PAY0127,SET0127,TXN0127,C101,2026-08-13,75000.0,0.0,7500.0,67500.0,2026-08-14,SETTLED,RZP-TXN0127
PAY0128,SET0128,TXN0128,C105,2026-08-21,15000.0,0.0,0.0,15000.0,2026-08-22,SETTLED,RZP-TXN0128
PAY0129,SET0129,TXN0129,C111,2026-08-02,7500.0,0.0,0.0,7500.0,2026-08-03,SETTLED,RZP-TXN0129
PAY0130,SET0130,TXN0130,C129,2026-08-11,10000.0,0.0,0.0,10000.0,2026-08-12,SETTLED,RZP-TXN013X
PAY0131,SET0131,TXN0131,C117,2026-08-14,7500.0,0.0,0.0,4500.0,2026-08-15,SETTLED,RZP-TXN0131
PAY0132,SET0132,TXN0132,C101,2026-08-18,1000.0,0.0,0.0,1000.0,2026-08-19,SETTLED,RZP-TXN0132
PAY0133,SET0133,TXN0133,C122,2026-08-08,1500.0,0.0,0.0,1500.0,2026-08-09,SETTLED,RZP-TXN013X
PAY0134,SET0134,TXN0134,C102,2026-08-01,5000.0,0.0,0.0,5000.0,2026-08-02,SETTLED,RZP-TXN0134
PAY0135,SET0135,TXN0135,C139,2026-08-05,5000.0,0.0,0.0,5000.0,2026-08-06,SETTLED,RZP-TXN0135
PAY0136,SET0136,TXN0136,C107,2026-08-19,5000.0,100.0,0.0,4900.0,2026-08-20,SETTLED,RZP-TXN0136
PAY0137,SET0137,TXN0137,C149,2026-08-12,2500.0,0.0,250.0,2250.0,2026-08-13,SETTLED,RZP-TXN0137
PAY0138,SET0138,TXN0138,C145,2026-08-04,2500.0,0.0,0.0,2500.0,2026-08-05,SETTLED,RZP-TXN0138
PAY0139,SET0139,TXN0139,C106,2026-08-19,1000.0,0.0,0.0,0.0,2026-08-20,SETTLED,RZP-TXN0139
PAY0140,SET0140,TXN0140,C124,2026-08-13,5000.0,0.0,0.0,5000.0,2026-08-14,SETTLED,RZP-TXN0140
PAY0141,SET0141,TXN0141,C140,2026-08-08,1500.0,0.0,0.0,1500.0,2026-08-11,SETTLED,RZP-TXN0141
PAY0142,SET0142,TXN0142,C143,2026-08-20,1500.0,0.0,0.0,900.0,2026-08-21,SETTLED,RZP-TXN0142
PAY0143,SET0143,TXN0143,C102,2026-08-12,50000.0,0.0,0.0,50000.0,2026-08-13,SETTLED,RZP-TXN0143
PAY0144,SET0144,TXN0144,C104,2026-08-17,10000.0,0.0,0.0,10000.0,2026-08-18,SETTLED,RZP-TXN0144
PAY0145,SET0145,TXN0145,C131,2026-08-04,15000.0,0.0,0.0,15000.0,2026-08-05,SETTLED,RZP-TXN0145
PAY0146,SET0146,TXN0146,C140,2026-08-15,2500.0,0.0,0.0,2500.0,2026-08-16,SETTLED,RZP-TXN0146
PAY0147,SET0147,TXN0147,C133,2026-08-21,7500.0,0.0,750.0,6750.0,2026-08-22,SETTLED,RZP-TXN0147
PAY0148,SET0148,TXN0148,C149,2026-08-16,25000.0,0.0,0.0,25000.0,2026-08-17,SETTLED,RZP-TXN0148
PAY0149,SET0149,TXN0149,C137,2026-08-09,10000.0,0.0,0.0,6000.0,2026-08-10,SETTLED,RZP-TXN0149
PAY0150,SET0150,TXN0150,C117,2026-08-15,5000.0,0.0,0.0,5000.0,2026-08-16,SETTLED,RZP-TXN015X
PAY0151,SET0151,TXN0151,C139,2026-08-13,10000.0,0.0,0.0,10000.0,2026-08-14,SETTLED,RZP-TXN0151
PAY0152,SET0152,TXN0152,C111,2026-08-16,5000.0,0.0,0.0,5000.0,2026-08-17,SETTLED,RZP-TXN0152
PAY0153,SET0153,TXN0153,C121,2026-08-09,75000.0,0.0,0.0,75000.0,2026-08-12,SETTLED,RZP-TXN0153
PAY0154,SET0154,TXN0154,C135,2026-08-01,50000.0,0.0,0.0,49500.0,2026-08-02,SETTLED,RZP-TXN0154
PAY0155,SET0155,TXN0155,C146,2026-08-14,25000.0,0.0,2500.0,22500.0,2026-08-15,SETTLED,RZP-TXN0155
PAY0156,SET0156,TXN0156,C144,2026-08-16,25000.0,0.0,0.0,25000.0,2026-08-17,SETTLED,RZP-TXN0156
PAY0157,SET0157,TXN0157,C105,2026-08-10,5000.0,0.0,0.0,5000.0,2026-08-11,SETTLED,RZP-TXN0157
PAY0158,SET0158,TXN0158,C119,2026-08-19,10000.0,200.0,0.0,9800.0,2026-08-20,SETTLED,RZP-TXN0158
PAY0159,SET0159,TXN0159,C122,2026-08-14,50000.0,0.0,0.0,50000.0,2026-08-15,SETTLED,RZP-TXN0159
PAY0160,SET0160,TXN0160,C129,2026-08-09,7500.0,0.0,0.0,7500.0,2026-08-10,SETTLED,RZP-TXN0160
PAY0161,SET0161,TXN0161,C146,2026-08-07,10000.0,0.0,0.0,10000.0,2026-08-08,SETTLED,RZP-TXN0161
PAY0162,SET0162,TXN0162,C148,2026-08-06,5000.0,0.0,0.0,5000.0,2026-08-07,SETTLED,RZP-TXN0162
PAY0163,SET0163,TXN0163,C117,2026-08-19,50000.0,0.0,5000.0,45000.0,2026-08-20,SETTLED,RZP-TXN0163
PAY0164,SET0164,TXN0164,C112,2026-08-10,5000.0,0.0,0.0,5000.0,2026-08-11,SETTLED,RZP-TXN0164
PAY0165,SET0165,TXN0165,C100,2026-08-18,2500.0,0.0,0.0,2500.0,2026-08-19,SETTLED,RZP-TXN0165
PAY0166,SET0166,TXN0166,C135,2026-08-10,2500.0,0.0,0.0,2500.0,2026-08-13,SETTLED,RZP-TXN0166
PAY0167,SET0167,TXN0167,C131,2026-08-04,1000.0,0.0,100.0,900.0,2026-08-05,SETTLED,RZP-TXN0167
PAY0168,SET0168,TXN0168,C130,2026-08-15,10000.0,0.0,0.0,10000.0,2026-08-16,SETTLED,RZP-TXN0168
PAY0169,SET0169,TXN0169,C116,2026-08-16,1500.0,0.0,0.0,900.0,2026-08-17,SETTLED,RZP-TXN0169
PAY0170,SET0170,TXN0170,C131,2026-08-03,75000.0,0.0,7500.0,67500.0,2026-08-04,SETTLED,RZP-TXN0170
PAY0171,SET0171,TXN0171,C109,2026-08-05,75000.0,0.0,0.0,74500.0,2026-08-06,SETTLED,RZP-TXN0171
PAY0172,SET0172,TXN0172,C107,2026-08-18,15000.0,0.0,1500.0,13500.0,2026-08-19,SETTLED,RZP-TXN0172
PAY0173,SET0173,TXN0173,C114,2026-08-17,15000.0,300.0,0.0,14700.0,2026-08-18,SETTLED,RZP-TXN0173
PAY0174,SET0174,TXN0174,C119,2026-08-19,15000.0,0.0,0.0,15000.0,2026-08-20,SETTLED,RZP-TXN0174
PAY0175,SET0175,TXN0175,C103,2026-08-20,1500.0,0.0,0.0,1000.0,2026-08-21,SETTLED,RZP-TXN0175
PAY0176,SET0176,TXN0176,C113,2026-08-09,1500.0,0.0,0.0,1500.0,2026-08-10,SETTLED,RZP-TXN0176
PAY0177,SET0177,TXN0177,C135,2026-08-03,2500.0,0.0,0.0,2500.0,2026-08-04,SETTLED,RZP-TXN0177
PAY0178,SET0178,TXN0178,C144,2026-08-20,25000.0,0.0,0.0,25000.0,2026-08-21,SETTLED,RZP-TXN0178
PAY0179,SET0179,TXN0179,C118,2026-08-10,25000.0,0.0,0.0,25000.0,2026-08-11,SETTLED,RZP-TXN0179
PAY0180,SET0180,TXN0180,C116,2026-08-21,75000.0,0.0,0.0,75000.0,2026-08-24,SETTLED,RZP-TXN0180
PAY0181,SET0181,TXN0181,C127,2026-08-04,50000.0,0.0,0.0,50000.0,2026-08-05,SETTLED,RZP-TXN0181
PAY0182,SET0182,TXN0182,C117,2026-08-05,1500.0,0.0,0.0,1500.0,2026-08-06,SETTLED,RZP-TXN0182
PAY0183,SET0183,TXN0183,C138,2026-08-19,7500.0,0.0,0.0,7500.0,2026-08-20,SETTLED,RZP-TXN0183
PAY0184,SET0184,TXN0184,C144,2026-08-10,15000.0,0.0,0.0,13000.0,2026-08-11,SETTLED,RZP-TXN0184
PAY0185,SET0185,TXN0185,C131,2026-08-15,1500.0,0.0,150.0,1350.0,2026-08-16,SETTLED,RZP-TXN0185
PAY0186,SET0186,TXN0186,C147,2026-08-11,75000.0,0.0,0.0,75000.0,2026-08-12,SETTLED,RZP-TXN0186
PAY0187,SET0187,TXN0187,C114,2026-08-19,75000.0,0.0,0.0,73000.0,2026-08-20,SETTLED,RZP-TXN0187
PAY0188,SET0188,TXN0188,C136,2026-08-02,2500.0,50.0,0.0,2450.0,2026-08-03,SETTLED,RZP-TXN0188
PAY0189,SET0189,TXN0189,C128,2026-08-09,2500.0,0.0,0.0,2500.0,2026-08-10,SETTLED,RZP-TXN0189
PAY0190,SET0190,TXN0190,C127,2026-08-21,25000.0,0.0,0.0,25000.0,2026-08-22,SETTLED,RZP-TXN0190
PAY0191,SET0191,TXN0191,C130,2026-08-12,15000.0,0.0,0.0,15000.0,2026-08-13,SETTLED,RZP-TXN0191
PAY0192,SET0192,TXN0192,C106,2026-08-06,10000.0,0.0,0.0,10000.0,2026-08-07,SETTLED,RZP-TXN0192
PAY0193,SET0193,TXN0193,C118,2026-08-13,50000.0,0.0,0.0,50000.0,2026-08-14,SETTLED,RZP-TXN0193
PAY0194,SET0194,TXN0194,C120,2026-08-09,10000.0,0.0,0.0,10000.0,2026-08-10,SETTLED,RZP-TXN0194
